test_number,time,test_mode,motor_id,m1_axis,m1_imu_axis_sign,m1_direction,m1_requested_move_deg,m1_actual_step_pulses,m1_quantized_command_deg,m1_software_start_deg,m1_software_end_deg,m2_axis,m2_imu_axis_sign,m2_direction,m2_requested_move_deg,m2_actual_step_pulses,m2_quantized_command_deg,m2_software_start_deg,m2_software_end_deg,imu_relative_rotation_magnitude_deg,fk_predicted_relative_q_w,fk_predicted_relative_q_x,fk_predicted_relative_q_y,fk_predicted_relative_q_z,imu_relative_q_w,imu_relative_q_x,imu_relative_q_y,imu_relative_q_z,orientation_error_q_w,orientation_error_q_x,orientation_error_q_y,orientation_error_q_z,orientation_error_deg,orientation_error_axis_x,orientation_error_axis_y,orientation_error_axis_z,axis,imu_axis_sign,motor_direction,requested_move_deg,actual_step_pulses,quantized_command_deg,software_start_deg,software_end_deg,initial_euler_reference_deg,final_euler_reference_deg,quaternion_rotation_magnitude_deg,quaternion_axis_projected_deg,relative_euler_axis_deg,integrated_sensor_axis_deg,integrated_motor_axis_deg,measured_signed_rotation_deg,signed_error_deg,absolute_error_deg,percent_error
1,2026-08-13 17:44:35,Dual FK quaternion,M1+M2,Pitch,1.0,1,15.0,67,15.075,0.0,15.075,Roll,-1.0,1,15.0,67,15.075,0.0,15.075,20.983001206562207,0.9827931027521204,-0.1300416084758283,0.1300416084758283,-0.01720689724787971,0.9832819300109918,-0.12872653819427932,0.1271881684609227,-0.02023102276040166,0.9999903720915158,0.001798370880371701,-0.0024520186236870935,-0.0031637305697041545,0.5028447858112757,0.4098258350759616,-0.558783836550263,-0.7209739308147417,,,,,,,,,,,,,,,,,,,
2,2026-08-13 18:00:29,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1.0,1,15.0,67,15.075,15.08,30.15,5.168232356258947,18.13384920148603,13.186070840178427,13.178182850443896,13.178968399881656,14.388877821033272,14.388877821033272,14.388877821033272,-0.6861221789667269,0.6861221789667269,4.551390905251919
3,2026-08-13 18:01:04,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1.0,1,15.0,67,15.075,0.0,15.075,6.460793679523406,19.028938169180673,12.792334494233543,12.77511690564059,12.776631558841832,14.445813240169082,14.445813240169082,14.445813240169082,-0.6291867598309171,0.6291867598309171,4.173709849624658
4,2026-08-13 18:01:24,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1.0,1,15.0,67,15.075,15.075,30.15,-2.1846322125250413,12.637049979411222,15.016168825560486,15.013525780820524,15.013799872876222,15.06333077941469,15.06333077941469,15.06333077941469,-0.011669220585309503,0.011669220585309503,0.07740776507667996
5,2026-08-13 18:01:43,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1.0,1,15.0,67,15.075,30.15,45.225,-1.2233357838374859,12.940812251415137,14.361770033663298,14.357699300138215,14.35813468220136,14.828440260380066,14.828440260380066,14.828440260380066,-0.24655973961993283,0.24655973961993283,1.635553828324596
6,2026-08-13 18:02:01,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1.0,1,15.0,67,15.075,45.225,60.3,-0.1493228142346418,13.61624720518184,13.968196596336544,13.958762785143914,13.959589953977401,14.698558479667893,14.698558479667893,14.698558479667893,-0.3764415203321061,0.3764415203321061,2.4971245129824617
7,2026-08-13 18:02:20,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1.0,1,15.0,67,15.075,60.3,75.375,13.529925427319906,28.21870126881342,14.914486400366151,14.912674063333077,14.912865726958348,14.994222485131719,14.994222485131719,14.994222485131719,-0.08077751486828078,0.08077751486828078,0.5358375778990433
8,2026-08-13 18:02:25,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1.0,1,15.0,67,15.075,75.375,90.45,0.6784961227798665,14.941236836813916,14.453808925112941,14.453041883638047,14.453118602661242,14.52933862964999,14.52933862964999,14.52933862964999,-0.5456613703500093,0.5456613703500093,3.6196442477612556
9,2026-08-13 18:02:49,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1.0,1,15.0,67,15.075,90.45,105.525,0.5646130495420276,15.020303017278131,14.66432923662137,14.66056937752077,14.660961709184475,14.820292150108585,14.820292150108585,14.820292150108585,-0.25470784989141393,0.25470784989141393,1.6896043110541554
