Test Number,Completed At,Test Mode,Motor ID,Single: IMU Axis,Single: IMU Direction Sign,Single: Motor Direction,Single: Requested Move (deg),Single: Actual Step Pulses,Single: Commanded Move (deg),Single: Start Position (deg),Single: End Position (deg),Single: Initial Euler Angle (deg),Single: Final Euler Angle (deg),Single: IMU Measured Rotation (deg),"Single: Directional Error (deg; - = undershoot, + = overshoot)",Single: Absolute Error (deg),Single: Error (%),Single: Integrated Motor-Axis Angle (deg),Single: Integrated Sensor-Axis Angle (deg),Single: Quaternion Projected Angle (deg),Single: Relative Euler Angle (deg),Single: Quaternion Rotation Magnitude (deg),Dual M1: IMU Axis,Dual M1: IMU Direction Sign,Dual M1: Motor Direction,Dual M1: Requested Move (deg),Dual M1: Actual Step Pulses,Dual M1: Commanded Move (deg),Dual M1: Start Position (deg),Dual M1: End Position (deg),Dual M2: IMU Axis,Dual M2: IMU Direction Sign,Dual M2: Motor Direction,Dual M2: Requested Move (deg),Dual M2: Actual Step Pulses,Dual M2: Commanded Move (deg),Dual M2: Start Position (deg),Dual M2: End Position (deg),Dual: IMU Relative Rotation Magnitude (deg),Dual: 3D Orientation Error (deg),Dual: Error Rotation Axis X,Dual: Error Rotation Axis Y,Dual: Error Rotation Axis Z,Dual: FK Predicted Relative Quaternion W,Dual: FK Predicted Relative Quaternion X,Dual: FK Predicted Relative Quaternion Y,Dual: FK Predicted Relative Quaternion Z,Dual: IMU Relative Quaternion W,Dual: IMU Relative Quaternion X,Dual: IMU Relative Quaternion Y,Dual: IMU Relative Quaternion Z,Dual: Error Quaternion W,Dual: Error Quaternion X,Dual: Error Quaternion Y,Dual: Error Quaternion Z
1,2026-08-14 13:02:07,Single,1,Pitch,1.000,1,60.000,267,60.075,-450.000,-389.925,3.497,63.031,59.316,-0.759,0.759,1.263,59.316,59.316,59.601,59.604,59.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-08-14 13:02:30,Single,1,Pitch,1.000,1,60.000,267,60.075,-389.925,-329.850,1.746,59.875,58.690,-1.385,1.385,2.306,58.690,58.690,58.206,58.208,58.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-08-14 13:02:42,Single,1,Pitch,1.000,1,60.000,267,60.075,-329.850,-269.775,4.278,62.507,58.853,-1.222,1.222,2.034,58.853,58.853,58.329,58.331,58.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-08-14 13:02:55,Single,1,Pitch,1.000,1,60.000,267,60.075,-269.775,-209.700,3.844,64.550,60.428,0.353,0.353,0.588,60.428,60.428,60.808,60.810,60.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-08-14 13:03:08,Single,1,Pitch,1.000,1,60.000,267,60.075,-209.700,-149.625,8.619,67.040,58.758,-1.317,1.317,2.192,58.758,58.758,58.542,58.544,58.550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-08-14 13:03:19,Single,1,Pitch,1.000,1,60.000,267,60.075,-149.625,-89.550,3.527,62.908,59.484,-0.591,0.591,0.983,59.484,59.484,59.471,59.473,59.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-08-14 13:03:30,Single,1,Pitch,1.000,1,60.000,267,60.075,-89.550,-29.475,-1.312,58.506,59.258,-0.817,0.817,1.361,59.258,59.258,59.893,59.895,59.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-08-14 13:03:41,Single,1,Pitch,1.000,1,60.000,267,60.075,-29.475,30.600,2.648,60.687,58.752,-1.323,1.323,2.202,58.752,58.752,58.120,58.122,58.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-08-14 13:03:51,Single,1,Pitch,1.000,1,60.000,267,60.075,30.600,90.675,2.529,63.004,60.033,-0.042,0.042,0.070,60.033,60.033,60.554,60.555,60.560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
