Test Number,Completed At,Test Mode,Motor ID,Single: IMU Axis,Single: IMU Direction Sign,Single: Motor Direction,Single: Requested Move (deg),Single: Actual Step Pulses,Single: Commanded Move (deg),Single: Start Position (deg),Single: End Position (deg),Single: Initial Euler Angle (deg),Single: Final Euler Angle (deg),Single: IMU Measured Rotation (deg),"Single: Directional Error (deg; - = undershoot, + = overshoot)",Single: Absolute Error (deg),Single: Error (%),Single: Integrated Motor-Axis Angle (deg),Single: Integrated Sensor-Axis Angle (deg),Single: Quaternion Projected Angle (deg),Single: Relative Euler Angle (deg),Single: Quaternion Rotation Magnitude (deg),Dual M1: IMU Axis,Dual M1: IMU Direction Sign,Dual M1: Motor Direction,Dual M1: Requested Move (deg),Dual M1: Actual Step Pulses,Dual M1: Commanded Move (deg),Dual M1: Start Position (deg),Dual M1: End Position (deg),Dual M2: IMU Axis,Dual M2: IMU Direction Sign,Dual M2: Motor Direction,Dual M2: Requested Move (deg),Dual M2: Actual Step Pulses,Dual M2: Commanded Move (deg),Dual M2: Start Position (deg),Dual M2: End Position (deg),Dual: IMU Relative Rotation Magnitude (deg),Dual: 3D Orientation Error (deg),Dual: Error Rotation Axis X,Dual: Error Rotation Axis Y,Dual: Error Rotation Axis Z,Dual: FK Predicted Relative Quaternion W,Dual: FK Predicted Relative Quaternion X,Dual: FK Predicted Relative Quaternion Y,Dual: FK Predicted Relative Quaternion Z,Dual: IMU Relative Quaternion W,Dual: IMU Relative Quaternion X,Dual: IMU Relative Quaternion Y,Dual: IMU Relative Quaternion Z,Dual: Error Quaternion W,Dual: Error Quaternion X,Dual: Error Quaternion Y,Dual: Error Quaternion Z
1,2026/8/14 13:10,Single,1,Pitch,1,1,90,400,90,-495.68,-405.675,-3.082,85.726,88.5,-1.5,1.5,1.666,88.5,88.5,89.166,89.111,89.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026/8/14 13:10,Single,1,Pitch,1,1,90,400,90,-405.675,-315.675,7.017,83.189,89.571,-0.429,0.429,0.477,89.571,89.571,89.613,89.517,89.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026/8/14 13:10,Single,1,Pitch,1,1,90,400,90,-315.675,-225.675,3.291,86.333,89.804,-0.196,0.196,0.217,89.804,89.804,89.827,89.769,89.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026/8/14 13:11,Single,1,Pitch,1,1,90,400,90,-225.675,-135.675,0.666,87.712,88.868,-1.132,1.132,1.257,88.868,88.868,88.749,88.726,88.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026/8/14 13:11,Single,1,Pitch,1,1,90,400,90,-135.675,-45.675,3.352,86.302,89.408,-0.592,0.592,0.658,89.408,89.408,89.823,89.816,89.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026/8/14 13:11,Single,1,Pitch,1,1,90,400,90,-45.675,44.325,6.436,83.021,90.141,0.141,0.141,0.157,90.141,90.141,90.274,89.656,90.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026/8/14 13:11,Single,1,Pitch,1,1,90,400,90,44.325,134.325,3.7,86.225,89.288,-0.712,0.712,0.791,89.288,89.288,89.644,89.637,89.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026/8/14 13:11,Single,1,Pitch,1,1,90,400,90,134.325,224.325,7.559,82.901,89.379,-0.621,0.621,0.69,89.379,89.379,89.369,89.369,89.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026/8/14 13:12,Single,1,Pitch,1,1,90,400,90,224.325,314.325,3.423,86.454,89.665,-0.335,0.335,0.373,89.665,89.665,89.767,89.771,89.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026/8/14 13:12,Single,1,Pitch,1,1,90,400,90,314.325,404.325,7.319,83.104,89.405,-0.595,0.595,0.662,89.405,89.405,89.411,89.392,89.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
