Test Number,Completed At,Test Mode,Motor ID,Single: IMU Axis,Single: IMU Direction Sign,Single: Motor Direction,Single: Requested Move (deg),Single: Actual Step Pulses,Single: Commanded Move (deg),Single: Start Position (deg),Single: End Position (deg),Single: Initial Euler Angle (deg),Single: Final Euler Angle (deg),Single: IMU Measured Rotation (deg),"Single: Directional Error (deg; - = undershoot, + = overshoot)",Single: Absolute Error (deg),Single: Error (%),Single: Integrated Motor-Axis Angle (deg),Single: Integrated Sensor-Axis Angle (deg),Single: Quaternion Projected Angle (deg),Single: Relative Euler Angle (deg),Single: Quaternion Rotation Magnitude (deg),Dual M1: IMU Axis,Dual M1: IMU Direction Sign,Dual M1: Motor Direction,Dual M1: Requested Move (deg),Dual M1: Actual Step Pulses,Dual M1: Commanded Move (deg),Dual M1: Start Position (deg),Dual M1: End Position (deg),Dual M2: IMU Axis,Dual M2: IMU Direction Sign,Dual M2: Motor Direction,Dual M2: Requested Move (deg),Dual M2: Actual Step Pulses,Dual M2: Commanded Move (deg),Dual M2: Start Position (deg),Dual M2: End Position (deg),Dual: IMU Relative Rotation Magnitude (deg),Dual: 3D Orientation Error (deg),Dual: Error Rotation Axis X,Dual: Error Rotation Axis Y,Dual: Error Rotation Axis Z,Dual: FK Predicted Relative Quaternion W,Dual: FK Predicted Relative Quaternion X,Dual: FK Predicted Relative Quaternion Y,Dual: FK Predicted Relative Quaternion Z,Dual: IMU Relative Quaternion W,Dual: IMU Relative Quaternion X,Dual: IMU Relative Quaternion Y,Dual: IMU Relative Quaternion Z,Dual: Error Quaternion W,Dual: Error Quaternion X,Dual: Error Quaternion Y,Dual: Error Quaternion Z
1,2026-08-14 14:31:41,Dual FK quaternion,M1+M2,,,,,,,,,,,,,,,,,,,,Pitch,1.000,1,45.000,200,45.000,0.000,45.000,Roll,-1.000,1,15.000,67,15.075,0.000,15.075,46.742,1.448,0.125196,-0.516882,-0.846853,0.915896,-0.121190,0.379377,-0.050199,0.917956,-0.124119,0.371989,-0.059803,0.999920,0.001582,-0.006531,-0.010700
2,2026-08-14 14:32:05,Single,1,Pitch,1.000,1,15.000,67,15.075,0.000,15.075,7.137,20.936,14.622,-0.453,0.453,3.003,14.622,14.622,13.890,13.890,13.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-08-14 14:32:12,Dual FK quaternion,M1+M2,,,,,,,,,,,,,,,,,,,,Pitch,1.000,1,45.000,200,45.000,15.075,60.075,Roll,-1.000,1,15.000,67,15.075,0.000,15.075,47.045,1.784,0.393098,-0.267274,-0.879795,0.915896,-0.103964,0.379377,-0.079990,0.916905,-0.103875,0.373606,-0.094415,0.999879,0.006120,-0.004161,-0.013697
4,2026-08-14 14:32:31,Dual FK quaternion,M1+M2,,,,,,,,,,,,,,,,,,,,Pitch,1.000,1,45.000,200,45.000,0.000,45.000,Roll,-1.000,1,15.000,67,15.075,0.000,15.075,45.476,2.149,0.085053,-0.937639,-0.337045,0.915896,-0.121190,0.379377,-0.050199,0.922283,-0.122989,0.362356,-0.054454,0.999824,0.001595,-0.017587,-0.006322
5,2026-08-14 14:32:47,Dual FK quaternion,M1+M2,,,,,,,,,,,,,,,,,,,,Pitch,1.000,1,45.000,200,45.000,0.000,45.000,Roll,-1.000,1,15.000,67,15.075,0.000,15.075,47.304,1.645,-0.327553,-0.260803,-0.908125,0.915896,-0.121190,0.379377,-0.050199,0.915998,-0.130619,0.374564,-0.059897,0.999897,-0.004703,-0.003744,-0.013038
6,2026-08-14 14:33:09,Dual FK quaternion,M1+M2,,,,,,,,,,,,,,,,,,,,Pitch,1.000,1,45.000,200,45.000,0.000,45.000,Roll,-1.000,1,15.000,67,15.075,0.000,15.075,47.377,1.387,0.029492,-0.103406,-0.994202,0.915896,-0.121190,0.379377,-0.050199,0.915743,-0.125481,0.376727,-0.061196,0.999927,0.000357,-0.001251,-0.012030
